Accession,Release_Date,Species,Genus,Family,Length,Authors,Publications,Protein,Geo_Location,Host,Isolation_Source
QIA98594,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,96,"Yu Kie,C., Norazimah,T., Rehan Shuhada,A.B., Selvanesan,S., Noorliza,M.N., Hani,M.H.",,orf1ab polyprotein,Malaysia,Homo sapiens,oronasopharynx
QIA98602,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,nucleocapsid phosphoprotein,Taiwan,Homo sapiens,
QIA98604,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,ORF7a protein,Taiwan,Homo sapiens,
QIA98600,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,ORF6 protein,Taiwan,Homo sapiens,
QIA98595,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,orf1ab polyprotein,Taiwan,Homo sapiens,
QIA98596,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,surface glycoprotein,Taiwan,Homo sapiens,
QIA20046,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Fu,X., Li,D., Sun,Y.",,envelope protein,China,Homo sapiens,"lung, oronasopharynx"
QIA20047,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Fu,X., Li,D., Sun,Y.",,membrane glycoprotein,China,Homo sapiens,"lung, oronasopharynx"
QIA20049,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Fu,X., Li,D., Sun,Y.",,ORF7a protein,China,Homo sapiens,"lung, oronasopharynx"
QIA98597,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,ORF3a protein,Taiwan,Homo sapiens,
QIA98603,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,ORF10 protein,Taiwan,Homo sapiens,
QIA98599,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,membrane glycoprotein,Taiwan,Homo sapiens,
QIA98601,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,ORF8 protein,Taiwan,Homo sapiens,
QIA98598,2020-02-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,"Yeh,S.-H., Lin,Y.-Y., Lai,Y.-Y., Li,C.-L., Chang,S.-C., Chen,P.-J., Chang,S.-Y.",,envelope protein,Taiwan,Homo sapiens,
QIA20052,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,"Fu,X., Li,D., Sun,Y.",,nucleocapsid phosphoprotein,China,Homo sapiens,"lung, oronasopharynx"
QIA20043,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,4405,"Fu,X., Li,D., Sun,Y.",,orf1ab polyprotein,China,Homo sapiens,"lung, oronasopharynx"
QIA20042,2020-02-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,"Fu,X., Li,D., Sun,Y.",,orf1ab polyprotein,China,Homo sapiens,"lung, oronasopharynx"
